Receipt No.,Completion Time,Details,Transaction Status,Paid In,Withdrawn,Balance
LB84183C7I,2/8/2017 10:02,Customer Transfer of Funds Charge,Completed,,40,741.75
LB84183C7I,2/8/2017 10:02,Customer Transfer to 25470000000,Completed,,2000,781.75
LB86182XDE,2/8/2017 10:01,Customer Transfer of Funds Charge,Completed,,85,2781.75
LB86182XDE,2/8/2017 10:01,Customer Transfer to 25470000000,Completed,,10000,2866.75
LB8217YNY8,2/8/2017 9:52,Withdrawal Charge,Completed,,66,12866.75
LB8217YNY8,2/8/2017 9:52,Customer Withdrawal At Agent Till 281451,Completed,,5000,12932.75
LB8416AJ62,2/8/2017 6:27,Business Payment from 98,Completed,4000,,17932.75
LB7715N5VR,2/7/2017 22:21,Pay Bill Charge,Completed,,83,13932.75
LB7715N5VR,2/7/2017 22:21,Pay Bill to 1726,Completed,,5000,14015.75
LB7613TUIK,2/7/2017 19:59,Funds received from 2547000000,Completed,2840,,19015.75
LB79ZX78BP,2/7/2017 11:57,Funds received from 2547000000,Completed,5000,,16175.75
LB78ZUYF36,2/7/2017 8:52,Customer Transfer of Funds Charge,Completed,,15,11175.75
LB78ZUYF36,2/7/2017 8:52,Customer Transfer to 25470000000,Completed,,600,11190.75
LB62ZPO684,2/6/2017 17:57,Funds received from 2547000000,Completed,6600,,11790.75
LB67ZIF88D,2/6/2017 8:02,Airtime Purchase,Completed,,100,5190.75
LB52ZH0AKA,2/5/2017 21:48,Pay Bill Charge,Completed,,22,5290.75
LB52ZH0AKA,2/5/2017 21:48,Pay Bill to 423655,Completed,,700,5312.75
LB56ZFK00G,2/5/2017 19:49,Customer Transfer of Funds Charge,Completed,,40,6012.75
LB56ZFK00G,2/5/2017 19:49,Customer Transfer to 25470000000,Completed,,2000,6052.75
LB55ZF6RA7,2/5/2017 19:25,Withdrawal Charge,Completed,,66,8052.75
LB50ZARU9E,2/5/2017 13:59,Pay Bill Charge,Completed,,22,18323.75
LB37YR1A2N,2/3/2017 20:03,Withdrawal Charge,Completed,,27,35.75
LB35YLT6T1,2/3/2017 13:53,Pay Bill Charge,Completed,,22,62.75
LB17XXTE8P,2/1/2017 13:18,Withdrawal Charge,Completed,,49,284.75
LB16XU31WM,2/1/2017 7:32,Pay Bill Charge,Completed,,22,3333.75
LAV1XLSHBB,1/31/2017 13:58,Pay Bill Charge,Completed,,22,95.75
LAV1XLB3TT,1/31/2017 13:18,Withdrawal Charge,Completed,,27,317.75
LAU2XCPYTE,1/30/2017 17:05,Airtime Purchase,Completed,,50,44.75
LAR4WEOB8U,1/27/2017 17:07,Airtime Purchase,Completed,,100,491.75
LAR2WDTYIG,1/27/2017 15:57,Pay Bill Charge,Completed,,22,164.75
LAQ2W7B34K,1/26/2017 21:39,Pay Bill Charge,Completed,,22,186.75
LAQ4W5LCZY,1/26/2017 19:30,Withdrawal Charge,Completed,,27,708.75
LAQ8VX4QYA,1/26/2017 0:14,Pay Bill Charge,Completed,,22,2398.75
LAP5VMNJMD,1/25/2017 7:35,Pay Merchant Charge,Completed,,13.25,105.75
LAO9VG0RYB,1/24/2017 14:35,Withdrawal Charge,Completed,,27,169
LAN5V8VRRV,1/23/2017 19:28,Withdrawal Charge,Completed,,27,7391
LAN3V3X74F,1/23/2017 12:36,Withdrawal Charge,Completed,,110,558
LAM0UQC0YI,1/22/2017 7:44,Pay Merchant Charge,Completed,,25,10668
LAL3UKA323,1/21/2017 15:56,Pay Bill Charge,Completed,,22,193
LAJ4TXI6Z8,1/19/2017 16:12,Withdrawal Charge,Completed,,27,2578
LAI4TOVUIC,1/18/2017 19:03,Withdrawal Charge,Completed,,27,490
LAI3TJSW6T,1/18/2017 11:54,Pay Bill Charge,Completed,,198,802
LAF0SSAS0G,1/15/2017 18:59,Withdrawal Charge,Completed,,27,155
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
